configuration,notice_id_a,notice_id_b,label,word5_jaccard,candidate_survived,similarity_bin
32x4,N010018,N010020,same,0.1987315010570824,False,"(0.1, 0.2]"
32x4,N007876,N008565,different,0.1113412739513205,False,"(0.1, 0.2]"
32x4,N005451,N005452,same,0.2737588652482269,False,"(0.2, 0.3]"
32x4,N008464,N010231,different,0.0694533762057877,False,"(-0.001, 0.1]"
32x4,N000420,N001104,different,0.1614906832298136,False,"(0.1, 0.2]"
32x4,N004781,N005219,different,0.1937984496124031,False,"(0.1, 0.2]"
32x4,N007021,N010547,different,0.2564745196324143,False,"(0.2, 0.3]"
32x4,N004413,N008734,different,0.0787623066104078,False,"(-0.001, 0.1]"
32x4,N007783,N007784,same,0.2463576158940397,False,"(0.2, 0.3]"
32x4,N001104,N001107,same,0.2630385487528344,False,"(0.2, 0.3]"
32x4,N006958,N006959,same,0.4536271808999081,True,"(0.4, 0.5]"
32x4,N003107,N007431,different,0.2796327212020033,False,"(0.2, 0.3]"
32x4,N010497,N011446,different,0.3457573354480571,True,"(0.3, 0.4]"
32x4,N002561,N003545,different,0.0775193798449612,False,"(-0.001, 0.1]"
32x4,N004217,N007965,different,0.3402317880794702,True,"(0.3, 0.4]"
32x4,N006099,N006100,same,0.5925597874224978,True,"(0.5, 0.6]"
32x4,N009010,N009562,different,0.0893617021276595,False,"(-0.001, 0.1]"
32x4,N005332,N005333,same,0.8181818181818182,True,"(0.8, 0.9]"
32x4,N008288,N010448,different,0.2705501618122977,False,"(0.2, 0.3]"
32x4,N002391,N009409,different,0.086021505376344,False,"(-0.001, 0.1]"
32x4,N001001,N007428,different,0.1213292117465224,False,"(0.1, 0.2]"
32x4,N002919,N002920,same,0.9424141749723144,True,"(0.9, 1.0]"
32x4,N007223,N008301,different,0.1638418079096045,False,"(0.1, 0.2]"
32x4,N005352,N007867,different,0.086410635155096,False,"(-0.001, 0.1]"
32x4,N007893,N007894,same,0.852017937219731,True,"(0.8, 0.9]"
32x4,N002670,N007972,different,0.2815186246418338,False,"(0.2, 0.3]"
32x4,N006038,N008642,different,0.0982519590114526,False,"(-0.001, 0.1]"
32x4,N004523,N007453,different,0.1600771456123433,False,"(0.1, 0.2]"
32x4,N006491,N010563,different,0.3231750531537916,False,"(0.3, 0.4]"
32x4,N002902,N010086,different,0.1457725947521866,False,"(0.1, 0.2]"
32x4,N001013,N003939,different,0.1738056013179571,False,"(0.1, 0.2]"
32x4,N002612,N004456,different,0.097020097020097,False,"(-0.001, 0.1]"
32x4,N003308,N005945,different,0.0843621399176954,False,"(-0.001, 0.1]"
32x4,N002811,N007128,different,0.1680161943319838,False,"(0.1, 0.2]"
32x4,N007478,N011108,different,0.1066152858060372,False,"(0.1, 0.2]"
32x4,N001760,N001761,same,0.9550173010380624,True,"(0.9, 1.0]"
32x4,N004944,N009237,different,0.105890603085554,False,"(0.1, 0.2]"
32x4,N008261,N008262,same,0.5982378854625551,True,"(0.5, 0.6]"
32x4,N003630,N009918,different,0.1227272727272727,False,"(0.1, 0.2]"
32x4,N003948,N008608,different,0.0788243152972612,False,"(-0.001, 0.1]"
32x4,N008997,N008998,same,0.473972602739726,True,"(0.4, 0.5]"
32x4,N004789,N005917,different,0.1609281437125748,False,"(0.1, 0.2]"
32x4,N003672,N008071,different,0.4044016506189821,True,"(0.4, 0.5]"
32x4,N009235,N009236,same,0.3705103969754253,False,"(0.3, 0.4]"
32x4,N001817,N002597,different,0.3341213553979511,False,"(0.3, 0.4]"
32x4,N000985,N000986,same,0.1965020576131687,False,"(0.1, 0.2]"
32x4,N000993,N010660,different,0.1422413793103448,False,"(0.1, 0.2]"
32x4,N003269,N010318,different,0.1720351390922401,False,"(0.1, 0.2]"
32x4,N011750,N011966,different,0.1679073614557485,False,"(0.1, 0.2]"
32x4,N010357,N010360,same,0.9702048417132216,True,"(0.9, 1.0]"
32x4,N001163,N001165,same,0.968,True,"(0.9, 1.0]"
32x4,N011255,N011732,different,0.1723534558180227,False,"(0.1, 0.2]"
32x4,N007191,N011803,different,0.0794198895027624,False,"(-0.001, 0.1]"
32x4,N003422,N008330,different,0.0906084656084656,False,"(-0.001, 0.1]"
32x4,N004762,N011915,different,0.3286274509803921,False,"(0.3, 0.4]"
32x4,N006325,N006326,same,0.8105395232120451,True,"(0.8, 0.9]"
32x4,N003658,N003661,same,0.8946459412780656,True,"(0.8, 0.9]"
32x4,N010135,N010136,same,0.9823008849557522,True,"(0.9, 1.0]"
32x4,N003079,N011928,different,0.3535087719298245,True,"(0.3, 0.4]"
32x4,N000268,N009659,different,0.4272151898734177,False,"(0.4, 0.5]"
32x4,N001173,N001174,same,0.564042303172738,True,"(0.5, 0.6]"
32x4,N004065,N007546,different,0.2972718720602069,False,"(0.2, 0.3]"
32x4,N000702,N007932,different,0.0748256182625237,False,"(-0.001, 0.1]"
32x4,N009387,N009517,different,0.1550079491255961,False,"(0.1, 0.2]"
32x4,N000358,N007166,different,0.1524822695035461,False,"(0.1, 0.2]"
32x4,N007841,N011872,different,0.0900621118012422,False,"(-0.001, 0.1]"
32x4,N000576,N000577,same,0.1786055396370582,False,"(0.1, 0.2]"
32x4,N003372,N008041,different,0.1540785498489426,False,"(0.1, 0.2]"
32x4,N006470,N009323,different,0.3245481927710843,True,"(0.3, 0.4]"
32x4,N001685,N001686,same,0.6132848043676069,True,"(0.6, 0.7]"
32x4,N002358,N005690,different,0.1574225122349102,False,"(0.1, 0.2]"
32x4,N002216,N002218,same,0.8135338345864662,True,"(0.8, 0.9]"
32x4,N003837,N007101,different,0.2532281205164993,False,"(0.2, 0.3]"
32x4,N008995,N010419,different,0.1475548060708263,False,"(0.1, 0.2]"
32x4,N001394,N003813,different,0.104594330400782,False,"(0.1, 0.2]"
32x4,N003816,N009648,different,0.3646308113035551,False,"(0.3, 0.4]"
32x4,N000883,N003126,different,0.0866721177432543,False,"(-0.001, 0.1]"
32x4,N010748,N011807,different,0.1994750656167979,False,"(0.1, 0.2]"
32x4,N006050,N007874,different,0.1027278003482298,False,"(0.1, 0.2]"
32x4,N011687,N011688,same,0.9830220713073003,True,"(0.9, 1.0]"
32x4,N000036,N011140,different,0.1267232237539766,False,"(0.1, 0.2]"
32x4,N000051,N000052,same,0.953307392996109,True,"(0.9, 1.0]"
32x4,N001105,N007889,different,0.0680218921032056,False,"(-0.001, 0.1]"
32x4,N004491,N004492,same,0.5182926829268293,True,"(0.5, 0.6]"
32x4,N004978,N009682,different,0.1228222996515679,False,"(0.1, 0.2]"
32x4,N008379,N008380,same,0.864406779661017,True,"(0.8, 0.9]"
32x4,N001189,N011628,different,0.0988745980707395,False,"(-0.001, 0.1]"
32x4,N000183,N001889,different,0.4340425531914894,False,"(0.4, 0.5]"
32x4,N006225,N006227,same,0.210412147505423,False,"(0.2, 0.3]"
32x4,N002447,N007313,different,0.1302857142857142,False,"(0.1, 0.2]"
32x4,N005321,N005322,same,0.9304123711340206,True,"(0.9, 1.0]"
32x4,N004563,N004564,same,0.3852106620808254,False,"(0.3, 0.4]"
32x4,N001497,N001498,same,0.4645799011532125,False,"(0.4, 0.5]"
32x4,N002729,N008105,different,0.1562252180808881,False,"(0.1, 0.2]"
32x4,N000314,N008220,different,0.1233552631578947,False,"(0.1, 0.2]"
32x4,N001902,N009227,different,0.3510758776896942,False,"(0.3, 0.4]"
32x4,N001376,N009439,different,0.2835011618900077,False,"(0.2, 0.3]"
32x4,N003019,N009498,different,0.1111111111111111,False,"(0.1, 0.2]"
32x4,N003883,N004988,different,0.0938851142680667,False,"(-0.001, 0.1]"
32x4,N004822,N007764,different,0.1306501547987616,False,"(0.1, 0.2]"
32x4,N000255,N007615,different,0.2618296529968454,False,"(0.2, 0.3]"
32x4,N005676,N011302,different,0.1440329218106996,False,"(0.1, 0.2]"
32x4,N003403,N007889,different,0.0820143884892086,False,"(-0.001, 0.1]"
32x4,N002476,N005891,different,0.0907894736842105,False,"(-0.001, 0.1]"
32x4,N004988,N009224,different,0.114792899408284,False,"(0.1, 0.2]"
32x4,N001677,N011151,different,0.1003562945368171,False,"(0.1, 0.2]"
32x4,N006731,N006732,same,0.8859060402684564,True,"(0.8, 0.9]"
32x4,N002200,N009548,different,0.0974297668858338,False,"(-0.001, 0.1]"
32x4,N001873,N001874,same,0.8815426997245179,True,"(0.8, 0.9]"
32x4,N006820,N010293,different,0.1648351648351648,False,"(0.1, 0.2]"
32x4,N004096,N007060,different,0.2082683307332293,False,"(0.2, 0.3]"
32x4,N003135,N003543,different,0.1820448877805486,False,"(0.1, 0.2]"
32x4,N006564,N007387,different,0.1912144702842377,True,"(0.1, 0.2]"
32x4,N004906,N008027,different,0.184,False,"(0.1, 0.2]"
32x4,N000145,N007083,different,0.09125,False,"(-0.001, 0.1]"
32x4,N008087,N008088,same,0.3101010101010101,False,"(0.3, 0.4]"
